,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
0,"66 Acton Street, London, London, London, N5 2NH",Mildmay,,,[''],1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42045,http://www.beerintheevening.com/pubs/s/42/42045/Queens_Head/London,http://www.queensheadlondon.com
1,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,[''],1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42506,http://www.beerintheevening.com/pubs/s/42/42506/Queens_Head/London,http://www.queensheadlondon.com
2,"66 Acton Street, London, London, N5 2NH",Mildmay,4.0,8.8,"['Real ale', 'Wireless internet access']",1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",Islington North,N5 2NH,42041,http://www.beerintheevening.com/pubs/s/42/42041/Queens_Head/London,http://www.queensheadlondon.com
3,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.0,[''],1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42164,http://www.beerintheevening.com/pubs/s/42/42164/Queens_Head/London,http://www.queensheadlondon.com
4,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,[''],1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42167,http://www.beerintheevening.com/pubs/s/42/42167/Queens_Head/London,http://www.queensheadlondon.com
5,"66 Acton Street, London, N5 2NH",Mildmay,,,[''],1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",Islington North,N5 2NH,42043,http://www.beerintheevening.com/pubs/s/42/42043/Queens_Head/London,http://www.queensheadlondon.com
6,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,7.0,[''],1498830859,51.5486666617728,-0.094890766052379,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",Islington North,N5 2NH,42511,http://www.beerintheevening.com/pubs/s/42/42511/Queens_Head/London,http://www.queensheadlondon.com
7,"149 Grafton Road, Kentish Town, London, London, NW5 4AY",Gospel Oak,,,"['Live music', 'TV', 'Jukebox', 'Pool table', 'Fruit machines']",1498830859,51.5508883116266,-0.149984066277287,The Mamelon Tower,[],"[{'name': 'Gospel Oak', 'distance': '0.3 miles'}, {'name': 'Kentish Town West', 'distance': '0.3 miles'}, {'name': 'Kentish Town', 'distance': '0.5 miles'}]",Holborn and St Pancras,NW5 4AY,31954,http://www.beerintheevening.com/pubs/s/31/31954/Mamelon_Tower/London,
8,"58 Millbank, London, SW1P 4RW",Vincent Square,12.0,4.3,"['TV (For tennis', 'cricket and Rugby)', 'Food served (From 8.30am-10pm mon -fri. Sat 10am-10pm and Sun 11am-9.30pm)', 'Sunday roast', 'Real ale (Youngs PA ordinary', 'SPA special', 'Waggle Dance and Wells and Youngs Bombardier)', 'Riverside location (Upstairs drinking and dining with gorgeous views)', 'Outside seating', 'Dogs allowed', 'Credit cards accepted (All major credit cards)', 'Smoking area', 'Coach parties welcome']",1498830859,51.4893054369311,-0.128869034480349,Morpeth Arms,[],[],Cities of London and Westminster,SW1P 4RW,31520,http://www.beerintheevening.com/pubs/s/31/31520/Morpeth_Arms/London,
9,"47, Chiswell Street, London, London, EC1Y 4SB",Bunhill,12.0,2.8,['Cocktails'],1498830859,51.521118711398,-0.0918892550747169,The Parker McMillan,[],"[{'name': 'Moorgate', 'distance': '0.2 miles'}, {'name': 'Barbican', 'distance': '0.3 miles'}, {'name': 'Old Street', 'distance': '0.4 miles'}]",Islington South and Finsbury,EC1Y 4SB,29847,http://www.beerintheevening.com/pubs/s/29/29847/Parker_McMillan/London,
